EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;CE        ;NORDESTE       ;2025;7;VAREJO                                                      ;14,18
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;GO        ;CENTRO-OESTE   ;2025;7;VAREJO                                                      ;18,71
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;MA        ;NORDESTE       ;2025;7;VAREJO                                                      ;15,57
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;MT        ;CENTRO-OESTE   ;2025;7;VAREJO                                                      ;12,67
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;PB        ;NORDESTE       ;2025;7;VAREJO                                                      ;12,85
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;PE        ;NORDESTE       ;2025;7;VAREJO                                                      ;14,24
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;PI        ;NORDESTE       ;2025;7;VAREJO                                                      ;11,23
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;PR        ;SUL            ;2025;7;VAREJO                                                      ;16,4
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;RJ        ;SUDESTE        ;2025;7;VAREJO                                                      ;23,12
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;RN        ;NORDESTE       ;2025;7;VAREJO                                                      ;13,43
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;RS        ;SUL            ;2025;7;VAREJO                                                      ;16,5
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;SE        ;NORDESTE       ;2025;7;VAREJO                                                      ;9,47
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;SP        ;SUDESTE        ;2025;7;VAREJO                                                      ;19,3
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;AL        ;NORDESTE       ;2025;8;VAREJO                                                      ;23,91
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;CE        ;NORDESTE       ;2025;8;VAREJO                                                      ;15,97
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;GO        ;CENTRO-OESTE   ;2025;8;VAREJO                                                      ;18,68
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;MA        ;NORDESTE       ;2025;8;VAREJO                                                      ;12,9
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;MT        ;CENTRO-OESTE   ;2025;8;VAREJO                                                      ;13,23
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;PB        ;NORDESTE       ;2025;8;VAREJO                                                      ;12,59
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;PE        ;NORDESTE       ;2025;8;VAREJO                                                      ;12,44
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;PI        ;NORDESTE       ;2025;8;VAREJO                                                      ;11,13
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;PR        ;SUL            ;2025;8;VAREJO                                                      ;16,73
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;RJ        ;SUDESTE        ;2025;8;VAREJO                                                      ;23,62
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;RN        ;NORDESTE       ;2025;8;VAREJO                                                      ;14,63
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;RS        ;SUL            ;2025;8;VAREJO                                                      ;16,53
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;SE        ;NORDESTE       ;2025;8;VAREJO                                                      ;10,21
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;SP        ;SUDESTE        ;2025;8;VAREJO                                                      ;20,7
FACA                     ;PARA SANGRIA        ;13151;AC        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;40,0
FACA                     ;PARA SANGRIA        ;13151;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;50,0
FACA                     ;CABO PRETO 7''      ;15373;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;30,0
FACA                     ;CABO BRANCO 8''     ;15374;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;30,0
FACA                     ;NÃO INFORMADO       ;8669;MG        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;6,99
FACA                     ;NÃO INFORMADO       ;8669;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;7,0
FACA                     ;PARA SANGRIA        ;13151;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;50,0
FACA                     ;PARA SANGRIA        ;13151;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;70,0
FACA                     ;PARA SANGRIA        ;13151;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;85,0
FACAO                    ;16 POLEGADAS TRAMONT;14239;AC        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;92,0
FACAO                    ;12 POLEGADAS COM BAI;15325;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;50,0
FACAO                    ;50 CM, COM BAINHA TR;15315;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;45,0
FACAO                    ;60 CM, COM BAINHA TR;15316;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;80,0
FACAO                    ;NÃO INFORMADO       ;11610;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;110,0
FACAO                    ;58 CM TRAMONTINA    ;11611;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;80,0
FACAO                    ;20 POLEGADAS CORNETA;14374;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;59,8
